interview__key,interview__id,ip1,ministere,responsable,sexe,heure_fin,sssys_irnd,has__errors,interview__status,assignment__id,responsable_interne,Code_secteur,q1,q2,q3,q4,q5,q6,q7,q8,q81,q82,q9
00000000001,00000000000000000000000001,IP1,Ministère 5,Responsable 1,Homme,14:45,.065909974,0,1,2071,Resp interne 1,9,tres_satisfait,Non,,,Oui,Défi secteur 9,Défi usagers 4,Oui,Élevée,Faible,Recommandation 17
00000000002,00000000000000000000000002,IP2,Ministère 17,Responsable 2,Homme,13:00,.32065794,0,2,2019,Resp interne 2,1,tres_insatisfait,Non,,,Oui,Défi secteur 10,Défi usagers 4,Non,,,Recommandation 19
00000000003,00000000000000000000000003,IP3,Ministère 13,Responsable 3,Femme,11:42,.81924802,0,2,2147,Resp interne 3,3,satisfait,Non,,,Oui,Défi secteur 1,Défi usagers 6,Non,,,Recommandation 14
00000000004,00000000000000000000000004,IP4,Ministère 1,Responsable 4,Homme,23:49,.04956308,0,1,2004,Resp interne 4,3,tres_insatisfait,Oui,Changement majeur secteur 10,Changement majeur usagers 6,Oui,Défi secteur 8,Défi usagers 5,Non,,,Recommandation 13
00000000005,00000000000000000000000005,IP5,Ministère 8,Responsable 5,Homme,08:57,.37158629,0,1,2145,Resp interne 5,5,tres_satisfait,Non,,,Oui,Défi secteur 4,Défi usagers 4,Oui,Très,Faible,Recommandation 18
00000000006,00000000000000000000000006,IP6,Ministère 7,Responsable 6,Femme,13:55,.6908735,0,2,2045,Resp interne 6,7,ni_insatisfait_ni_satisfait,Non,,,Oui,Défi secteur 8,Défi usagers 7,Oui,Très,Faible,Recommandation 20
00000000007,00000000000000000000000007,IP7,Ministère 10,Responsable 7,Homme,06:33,.5556308,0,2,2119,Resp interne 7,2,tres_satisfait,Non,,,Oui,Défi secteur 3,Défi usagers 3,Oui,Faible,faible,Recommandation 12
00000000008,00000000000000000000000008,IP8,Ministère 6,Responsable 8,Homme,19:48,.5768041,0,1,2052,Resp interne 8,6,tres_satisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 1,Oui,Défi secteur 1,Défi usagers 10,Oui,faible,Très,Recommandation 1
00000000009,00000000000000000000000009,IP9,Ministère 19,Responsable 9,Homme,19:05,.1667096,0,1,2187,Resp interne 9,6,satisfait,Non,,,Oui,Défi secteur 6,Défi usagers 6,Oui,faible,Faible,Recommandation 11
00000000010,00000000000000000000000010,IP10,Ministère 19,Responsable 10,Homme,13:19,.91998434,0,3,2124,Resp interne 10,8,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 9,Changement majeur usagers 7,Non,,,Non,,,Recommandation 11
00000000011,00000000000000000000000011,IP11,Ministère 11,Responsable 11,Homme,16:10,.11342599,0,3,2100,Resp interne 11,8,insatisfait,Oui,Changement majeur secteur 7,Changement majeur usagers 1,Oui,Défi secteur 8,Défi usagers 5,Oui,Moyenne,Élevée,Recommandation 4
00000000012,00000000000000000000000012,IP12,Ministère 15,Responsable 12,Homme,09:42,.02145965,0,3,2198,Resp interne 12,8,insatisfait,Non,,,Oui,Défi secteur 4,Défi usagers 5,Non,,,Recommandation 18
00000000013,00000000000000000000000013,IP13,Ministère 8,Responsable 13,Femme,04:51,.56082493,0,3,2151,Resp interne 13,2,satisfait,Oui,Changement majeur secteur 6,Changement majeur usagers 1,Non,,,Non,,,Recommandation 9
00000000014,00000000000000000000000014,IP14,Ministère 8,Responsable 14,Femme,20:18,.20127706,0,2,2111,Resp interne 14,8,satisfait,Oui,Changement majeur secteur 4,Changement majeur usagers 1,Oui,Défi secteur 5,Défi usagers 5,Oui,Faible,faible,Recommandation 16
00000000015,00000000000000000000000015,IP15,Ministère 11,Responsable 15,Femme,04:30,.45825204,0,2,2179,Resp interne 15,5,ni_insatisfait_ni_satisfait,Oui,Changement majeur secteur 5,Changement majeur usagers 5,Non,,,Oui,Élevée,Très,Recommandation 8
00000000016,00000000000000000000000016,IP16,Ministère 11,Responsable 16,Homme,15:09,.20145388,0,3,2016,Resp interne 16,2,tres_insatisfait,Non,,,Oui,Défi secteur 1,Défi usagers 9,Oui,Faible,Élevée,Recommandation 13
00000000017,00000000000000000000000017,IP17,Ministère 7,Responsable 17,Femme,02:24,.53030032,0,2,2037,Resp interne 17,6,tres_satisfait,Non,,,Oui,Défi secteur 3,Défi usagers 2,Oui,Élevée,Élevée,Recommandation 2
