interview__key,interview__id,ip1,localite,structure,code_ppsp,intitule_ppsp,code_agent,sexe_agent_interv,age,handicap_agent_interv,annee_prise_poste,sssys_irnd,has__errors,interview__status,assignment__id,secteur,Code_secteur,qa21,qa22,qa23,qa31,qa32,qa33,qa34,qa35,qa41,qa42,qa43
00000000001,00000000000000000000001000,IP_1,LOC1,Structure_1,732,PPSP_732,1629,Homme,60,Non,2017,.16112529,0,79,1651,Secteur_8,6,Non,Non,Oui,Très insatisfait,Très insatisfait,Très insatisfait,Satisfait,Un peu motivé,oui,Oui,Non
00000000002,00000000000000000000002000,IP_2,LOC2,Structure_2,489,PPSP_489,409,Femme,34,Non,2002,.62850511,0,103,1647,Secteur_9,6,Oui,Oui,Oui,Très satisfait,Satisfait,Satisfait,Très insatisfait,Pas dutout motivé,pas du tout,Oui,Non
00000000003,00000000000000000000003000,IP_3,LOC3,Structure_3,748,PPSP_748,157,Femme,35,Non,2004,.71261245,0,100,1708,Secteur_1,4,Non,Non,Non,Très insatisfait,Satisfait,Très insatisfait,Très satisfait,Motivé,pas du tout,Oui,Non
00000000004,00000000000000000000004000,IP_4,LOC4,Structure_4,855,PPSP_855,356,Femme,48,Non,2001,.35609689,0,77,1791,Secteur_5,6,Oui,Oui,Oui,Satisfait,Satisfait,Satisfait,Très satisfait,Motivé,oui,Non,Non
00000000005,00000000000000000000005000,IP_5,LOC5,Structure_5,75,PPSP_75,509,Homme,59,Non,2013,.52355307,0,119,1662,Secteur_2,8,Oui,Oui,Non,Satisfait,Satisfait,Très insatisfait,Très satisfait,Pas dutout motivé,non,Non,Oui
00000000006,00000000000000000000006000,IP_6,LOC6,Structure_6,487,PPSP_487,430,Homme,28,Non,2018,.36134058,0,84,1674,Secteur_8,8,Oui,Non,Oui,Très insatisfait,Très satisfait,Très satisfait,Très satisfait,Motivé,oui,Non,Non
00000000007,00000000000000000000007000,IP_7,LOC7,Structure_7,333,PPSP_333,459,Femme,25,Non,1999,.89976794,0,106,1527,Secteur_3,8,Oui,Non,Non,Très insatisfait,Très insatisfait,Très satisfait,Satisfait,Un peu motivé,pas du tout,Oui,Non
00000000008,00000000000000000000008000,IP_8,LOC8,Structure_8,172,PPSP_172,1955,Femme,46,Non,2013,.92184466,0,69,1662,Secteur_3,4,Non,Oui,Oui,Satisfait,Satisfait,Très satisfait,Très insatisfait,Un peu motivé,pas du tout,Oui,Oui
00000000009,00000000000000000000009000,IP_9,LOC9,Structure_9,632,PPSP_632,71,Homme,41,Non,2023,.93354732,0,70,1672,Secteur_1,9,Oui,Non,Oui,Très satisfait,Très satisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,oui,Non,Oui
00000000010,00000000000000000000010000,IP_10,LOC10,Structure_10,942,PPSP_942,1032,Homme,58,Non,2006,.59575438,0,82,1825,Secteur_4,6,Oui,Non,Non,Très satisfait,Très satisfait,Très satisfait,Très satisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000000011,00000000000000000000011000,IP_11,LOC11,Structure_11,933,PPSP_933,1244,Homme,23,Non,1994,.21874276,0,102,1842,Secteur_8,6,Oui,Non,Oui,Très satisfait,Satisfait,Très satisfait,Très insatisfait,Motivé,non,Oui,Non
00000000012,00000000000000000000012000,IP_12,LOC12,Structure_12,672,PPSP_672,1902,Femme,26,Non,1996,.81302434,0,107,1833,Secteur_8,5,Oui,Non,Non,Très satisfait,Satisfait,Satisfait,Très satisfait,Motivé,oui,Non,Non
00000000013,00000000000000000000013000,IP_13,LOC13,Structure_13,46,PPSP_46,1998,Homme,38,Non,2015,.63675946,0,106,1459,Secteur_8,4,Oui,Oui,Non,Très insatisfait,Très insatisfait,Satisfait,Très insatisfait,Motivé,pas du tout,Oui,Non
00000000014,00000000000000000000014000,IP_14,LOC14,Structure_14,210,PPSP_210,792,Homme,45,Non,1996,.44480214,0,119,1516,Secteur_4,6,Oui,Non,Non,Très satisfait,Très insatisfait,Satisfait,Satisfait,Motivé,pas du tout,Oui,Oui
00000000015,00000000000000000000015000,IP_15,LOC15,Structure_15,226,PPSP_226,1670,Homme,29,Non,1987,.33291173,0,85,1580,Secteur_5,7,Oui,Oui,Oui,Très satisfait,Très satisfait,Satisfait,Satisfait,Pas dutout motivé,non,Non,Non
00000000016,00000000000000000000016000,IP_16,LOC16,Structure_16,920,PPSP_920,706,Femme,31,Non,2023,.85909534,0,129,1735,Secteur_1,9,Oui,Non,Oui,Satisfait,Satisfait,Très satisfait,Très satisfait,Un peu motivé,non,Oui,Non
00000000017,00000000000000000000017000,IP_17,LOC17,Structure_17,74,PPSP_74,343,Homme,36,Non,1988,.0091686845,0,72,1645,Secteur_7,2,Oui,Oui,Oui,Très insatisfait,Très satisfait,Très insatisfait,Satisfait,Pas dutout motivé,non,Non,Non
00000000018,00000000000000000000018000,IP_18,LOC18,Structure_18,686,PPSP_686,1974,Femme,56,Non,2013,.68918324,0,72,1847,Secteur_2,4,Oui,Non,Non,Satisfait,Très insatisfait,Satisfait,Satisfait,Pas dutout motivé,non,Oui,Non
00000000019,00000000000000000000019000,IP_19,LOC19,Structure_19,711,PPSP_711,34,Homme,54,Non,2012,.90452927,0,68,1722,Secteur_6,3,Oui,Non,Oui,Très insatisfait,Satisfait,Satisfait,Très satisfait,Motivé,pas du tout,Oui,Non
00000000020,00000000000000000000020000,IP_20,LOC20,Structure_20,412,PPSP_412,639,Homme,37,Non,2022,.39951769,0,99,1452,Secteur_5,1,Non,Non,Non,Satisfait,Très satisfait,Très insatisfait,Très insatisfait,Motivé,non,Oui,Oui
00000000021,00000000000000000000021000,IP_21,LOC21,Structure_21,618,PPSP_618,343,Homme,49,Non,2002,.72096753,0,95,1464,Secteur_7,3,Oui,Oui,Non,Satisfait,Très insatisfait,Très satisfait,Satisfait,Pas dutout motivé,pas du tout,Non,Non
00000000022,00000000000000000000022000,IP_22,LOC22,Structure_22,807,PPSP_807,896,Homme,44,Non,2022,.039057214,0,76,1513,Secteur_2,7,Oui,Oui,Oui,Très satisfait,Satisfait,Très insatisfait,Très satisfait,Motivé,oui,Oui,Oui
00000000023,00000000000000000000023000,IP_23,LOC23,Structure_23,460,PPSP_460,1894,Homme,24,Non,1988,.8207708,0,110,1707,Secteur_9,7,Non,Oui,Oui,Très satisfait,Satisfait,Très satisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Non
00000000024,00000000000000000000024000,IP_24,LOC24,Structure_24,446,PPSP_446,644,Femme,24,Non,1997,.20901807,0,113,1560,Secteur_9,9,Oui,Oui,Oui,Très satisfait,Satisfait,Très satisfait,Très satisfait,Pas dutout motivé,oui,Oui,Oui
00000000025,00000000000000000000025000,IP_25,LOC25,Structure_25,603,PPSP_603,771,Femme,34,Non,2013,.78167719,0,89,1652,Secteur_6,1,Non,Oui,Non,Très insatisfait,Très satisfait,Satisfait,Très satisfait,Pas dutout motivé,non,Non,Oui
00000000026,00000000000000000000026000,IP_26,LOC26,Structure_26,853,PPSP_853,18,Femme,29,Non,1997,.35281503,0,112,1530,Secteur_7,5,Oui,Oui,Oui,Satisfait,Très insatisfait,Très insatisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Oui
00000000027,00000000000000000000027000,IP_27,LOC27,Structure_27,376,PPSP_376,1258,Homme,45,Non,1989,.27603197,0,74,1456,Secteur_9,5,Oui,Non,Oui,Très satisfait,Très insatisfait,Très insatisfait,Très insatisfait,Pas dutout motivé,non,Oui,Oui
00000000028,00000000000000000000028000,IP_28,LOC28,Structure_28,182,PPSP_182,1913,Homme,57,Non,2023,.20544267,0,118,1725,Secteur_8,2,Oui,Non,Oui,Très insatisfait,Satisfait,Très satisfait,Très satisfait,Pas dutout motivé,oui,Non,Non
00000000029,00000000000000000000029000,IP_29,LOC29,Structure_29,367,PPSP_367,843,Homme,58,Non,1987,.90922481,0,96,1687,Secteur_5,4,Oui,Oui,Non,Très satisfait,Satisfait,Très insatisfait,Très satisfait,Motivé,oui,Oui,Non
00000000030,00000000000000000000030000,IP_30,LOC30,Structure_30,425,PPSP_425,1554,Homme,43,Non,2021,.34661716,0,121,1711,Secteur_9,3,Oui,Oui,Oui,Très insatisfait,Très insatisfait,Très satisfait,Très insatisfait,Motivé,pas du tout,Oui,Oui
00000000031,00000000000000000000031000,IP_31,LOC31,Structure_31,227,PPSP_227,1943,Femme,41,Non,2024,.1882022,0,71,1596,Secteur_5,1,Oui,Non,Oui,Satisfait,Très satisfait,Très insatisfait,Satisfait,Un peu motivé,oui,Non,Oui
00000000032,00000000000000000000032000,IP_32,LOC32,Structure_32,368,PPSP_368,1280,Femme,54,Non,2023,.26414478,0,105,1775,Secteur_5,5,Non,Oui,Oui,Très insatisfait,Très insatisfait,Très satisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Non
00000000033,00000000000000000000033000,IP_33,LOC33,Structure_33,405,PPSP_405,634,Femme,41,Non,2006,.80849016,0,106,1581,Secteur_5,9,Non,Oui,Non,Très insatisfait,Très satisfait,Satisfait,Très insatisfait,Un peu motivé,non,Non,Non
00000000034,00000000000000000000034000,IP_34,LOC34,Structure_34,693,PPSP_693,968,Homme,22,Non,1985,.9745093,0,85,1571,Secteur_4,6,Oui,Oui,Oui,Très satisfait,Très insatisfait,Très satisfait,Très insatisfait,Pas dutout motivé,non,Non,Non
00000000035,00000000000000000000035000,IP_35,LOC35,Structure_35,813,PPSP_813,17,Homme,52,Non,2010,.40624472,0,107,1710,Secteur_6,2,Oui,Oui,Oui,Très insatisfait,Satisfait,Satisfait,Satisfait,Pas dutout motivé,non,Oui,Non
00000000036,00000000000000000000036000,IP_36,LOC36,Structure_36,256,PPSP_256,665,Homme,21,Oui,2006,.76676977,0,108,1816,Secteur_7,2,Non,Non,Oui,Très insatisfait,Très insatisfait,Très insatisfait,Très insatisfait,Un peu motivé,oui,Oui,Non
00000000037,00000000000000000000037000,IP_37,LOC37,Structure_37,884,PPSP_884,810,Femme,21,Non,2001,.27678302,0,73,1496,Secteur_3,8,Oui,Non,Non,Très insatisfait,Très satisfait,Satisfait,Satisfait,Pas dutout motivé,oui,Oui,Oui
00000000038,00000000000000000000038000,IP_38,LOC38,Structure_38,640,PPSP_640,1872,Homme,44,Non,2005,.11939428,0,77,1706,Secteur_4,9,Oui,Non,Oui,Très satisfait,Très satisfait,Très satisfait,Très satisfait,Un peu motivé,oui,Oui,Non
00000000039,00000000000000000000039000,IP_39,LOC39,Structure_39,763,PPSP_763,1821,Femme,24,Non,2002,.53444827,0,111,1791,Secteur_9,8,Oui,Oui,Oui,Satisfait,Satisfait,Très insatisfait,Très satisfait,Motivé,oui,Oui,Non
00000000040,00000000000000000000040000,IP_40,LOC40,Structure_40,922,PPSP_922,1657,Homme,27,Oui,2003,.73318386,0,129,1733,Secteur_6,8,Non,Non,Oui,Très insatisfait,Satisfait,Satisfait,Satisfait,Un peu motivé,oui,Oui,Non
00000000041,00000000000000000000041000,IP_41,LOC41,Structure_41,794,PPSP_794,1974,Femme,50,Non,2004,.78709209,0,74,1576,Secteur_4,2,Oui,Oui,Oui,Satisfait,Satisfait,Très insatisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Oui
00000000042,00000000000000000000042000,IP_42,LOC42,Structure_42,44,PPSP_44,522,Homme,50,Non,1999,.083767012,0,76,1781,Secteur_5,3,Non,Oui,Oui,Satisfait,Très satisfait,Très satisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Non
00000000043,00000000000000000000043000,IP_43,LOC43,Structure_43,546,PPSP_546,1000,Homme,59,Non,2017,.55230945,0,115,1673,Secteur_4,8,Oui,Oui,Non,Satisfait,Satisfait,Très satisfait,Très insatisfait,Pas dutout motivé,non,Oui,Non
00000000044,00000000000000000000044000,IP_44,LOC44,Structure_44,689,PPSP_689,1599,Homme,45,Non,2005,.64170688,0,108,1605,Secteur_3,5,Non,Non,Non,Très satisfait,Très satisfait,Satisfait,Très insatisfait,Pas dutout motivé,non,Non,Non
00000000045,00000000000000000000045000,IP_45,LOC45,Structure_45,65,PPSP_65,72,Femme,55,Non,1988,.10768828,0,126,1612,Secteur_8,5,Oui,Non,Oui,Très insatisfait,Satisfait,Satisfait,Très satisfait,Pas dutout motivé,non,Oui,Non
00000000046,00000000000000000000046000,IP_46,LOC46,Structure_46,84,PPSP_84,1749,Homme,34,Non,2007,.76866519,0,127,1474,Secteur_3,4,Oui,Non,Oui,Très insatisfait,Très insatisfait,Satisfait,Satisfait,Motivé,oui,Non,Non
00000000047,00000000000000000000047000,IP_47,LOC47,Structure_47,685,PPSP_685,1984,Homme,49,Non,2017,.96923226,0,109,1562,Secteur_3,8,Non,Non,Non,Satisfait,Très satisfait,Très satisfait,Très satisfait,Un peu motivé,pas du tout,Oui,Non
00000000048,00000000000000000000048000,IP_48,LOC48,Structure_48,966,PPSP_966,1447,Femme,49,Non,2022,.55682021,0,113,1649,Secteur_8,8,Oui,Oui,Oui,Satisfait,Très satisfait,Très satisfait,Satisfait,Un peu motivé,pas du tout,Oui,Non
00000000049,00000000000000000000049000,IP_49,LOC49,Structure_49,274,PPSP_274,1422,Homme,25,Non,1998,.22252645,0,96,1464,Secteur_6,6,Oui,Non,Oui,Très insatisfait,Très satisfait,Très satisfait,Très satisfait,Motivé,oui,Non,Non
00000000050,00000000000000000000050000,IP_50,LOC50,Structure_50,258,PPSP_258,1942,Homme,43,Non,1996,.55705315,0,98,1762,Secteur_8,7,Non,Oui,Oui,Satisfait,Très satisfait,Très satisfait,Très insatisfait,Un peu motivé,pas du tout,Non,Non
00000000051,00000000000000000000051000,IP_51,LOC51,Structure_51,379,PPSP_379,1152,Homme,56,Non,2018,.11340736,0,76,1695,Secteur_3,1,Oui,Non,Non,Très satisfait,Satisfait,Très satisfait,Très insatisfait,Un peu motivé,oui,Oui,Non
00000000052,00000000000000000000052000,IP_52,LOC52,Structure_52,807,PPSP_807,1583,Femme,58,Non,2010,.75404394,0,91,1834,Secteur_2,7,Oui,Oui,Oui,Satisfait,Très satisfait,Très insatisfait,Très satisfait,Pas dutout motivé,non,Oui,Non
00000000053,00000000000000000000053000,IP_53,LOC53,Structure_53,61,PPSP_61,59,Femme,38,Non,2013,.49826321,0,111,1604,Secteur_5,3,Oui,Non,Oui,Très insatisfait,Très insatisfait,Satisfait,Très satisfait,Motivé,oui,Oui,Non
00000000054,00000000000000000000054000,IP_54,LOC54,Structure_54,590,PPSP_590,1224,Femme,59,Non,1991,.56218356,0,107,1669,Secteur_1,1,Non,Oui,Oui,Très satisfait,Satisfait,Très satisfait,Très insatisfait,Un peu motivé,pas du tout,Non,Non
00000000055,00000000000000000000055000,IP_55,LOC55,Structure_55,208,PPSP_208,1338,Femme,56,Oui,1988,.64197963,0,113,1809,Secteur_1,4,Oui,Oui,Oui,Satisfait,Très satisfait,Satisfait,Très insatisfait,Pas dutout motivé,oui,Oui,Non
00000000056,00000000000000000000056000,IP_56,LOC56,Structure_56,123,PPSP_123,4,Femme,58,Non,2003,.32567167,0,128,1538,Secteur_5,4,Non,Oui,Oui,Très insatisfait,Très satisfait,Très insatisfait,Satisfait,Un peu motivé,pas du tout,Oui,Non
00000000057,00000000000000000000057000,IP_57,LOC57,Structure_57,423,PPSP_423,1567,Homme,38,Non,2022,.21964765,0,82,1688,Secteur_4,8,Non,Non,Oui,Très satisfait,Très satisfait,Satisfait,Très satisfait,Pas dutout motivé,oui,Non,Oui
00000000058,00000000000000000000058000,IP_58,LOC58,Structure_58,384,PPSP_384,221,Femme,39,Non,2015,.84658271,0,86,1632,Secteur_2,6,Oui,Oui,Oui,Très satisfait,Très satisfait,Très insatisfait,Très insatisfait,Un peu motivé,oui,Oui,Non
00000000059,00000000000000000000059000,IP_59,LOC59,Structure_59,38,PPSP_38,831,Homme,47,Non,2014,.82834935,0,105,1757,Secteur_9,4,Oui,Oui,Non,Très insatisfait,Très insatisfait,Satisfait,Satisfait,Pas dutout motivé,non,Non,Non
00000000060,00000000000000000000060000,IP_60,LOC60,Structure_60,278,PPSP_278,1768,Homme,60,Oui,2024,.99591213,0,110,1850,Secteur_4,4,Oui,Non,Oui,Très satisfait,Satisfait,Très insatisfait,Satisfait,Un peu motivé,oui,Non,Non
00000000061,00000000000000000000061000,IP_61,LOC61,Structure_61,262,PPSP_262,65,Homme,35,Non,2003,.082729273,0,130,1727,Secteur_9,9,Oui,Oui,Oui,Satisfait,Très insatisfait,Satisfait,Très insatisfait,Motivé,pas du tout,Oui,Oui
00000000062,00000000000000000000062000,IP_62,LOC62,Structure_62,788,PPSP_788,2018,Homme,31,Non,2008,.079041824,0,124,1629,Secteur_5,5,Non,Oui,Oui,Très satisfait,Satisfait,Satisfait,Très satisfait,Un peu motivé,oui,Oui,Oui
00000000063,00000000000000000000063000,IP_63,LOC63,Structure_63,345,PPSP_345,1341,Homme,38,Non,1987,.21207346,0,99,1446,Secteur_1,4,Oui,Oui,Non,Très insatisfait,Très insatisfait,Très insatisfait,Très satisfait,Pas dutout motivé,oui,Non,Oui
00000000064,00000000000000000000064000,IP_64,LOC64,Structure_64,796,PPSP_796,60,Femme,43,Non,2011,.68900377,0,106,1631,Secteur_6,7,Oui,Non,Oui,Très insatisfait,Très satisfait,Satisfait,Satisfait,Un peu motivé,non,Non,Non
00000000065,00000000000000000000065000,IP_65,LOC65,Structure_65,969,PPSP_969,1893,Homme,24,Non,2019,.3215,0,101,1669,Secteur_2,2,Non,Non,Oui,Très insatisfait,Satisfait,Très satisfait,Satisfait,Pas dutout motivé,pas du tout,Oui,Non
00000000066,00000000000000000000066000,IP_66,LOC66,Structure_66,171,PPSP_171,810,Femme,33,Non,1986,.85205168,0,97,1677,Secteur_2,2,Oui,Non,Oui,Satisfait,Satisfait,Satisfait,Très satisfait,Un peu motivé,non,Oui,Non
00000000067,00000000000000000000067000,IP_67,LOC67,Structure_67,414,PPSP_414,1047,Homme,44,Non,2000,.97235996,0,90,1615,Secteur_4,8,Oui,Oui,Non,Très insatisfait,Très satisfait,Très satisfait,Très satisfait,Motivé,non,Oui,Non
00000000068,00000000000000000000068000,IP_68,LOC68,Structure_68,73,PPSP_73,786,Homme,21,Non,1992,.30817965,0,71,1483,Secteur_8,8,Oui,Non,Oui,Satisfait,Satisfait,Très satisfait,Satisfait,Motivé,oui,Non,Non
