interview__key,interview__id,ip1,q1,sssys_irnd,has__errors,interview__status,assignment__id,Code_secteur,q2,q3,q4,q5,q6,q7,q8,q10,q11,q12,q13,q14,sexe,ministere,initiative,structure,repondant
00000000001,00000000000000000000000001,IP1,2023,.029736258,0,115,2001,3,Non,Oui,Non,,Non,,Non,,Recommandation principale 1,Non,,,Femme,Ministère 15,Initiative 1,Structure 11,Répondant 1
00000000002,00000000000000000000000002,IP2,2001,.74094123,0,109,2007,5,Non,Oui,Non,,Non,,Non,,Recommandation principale 2,Oui,Non,Non,Femme,Ministère 2,Initiative 2,Structure 2,Répondant 2
00000000003,00000000000000000000000003,IP3,2020,.0053853435,0,111,2054,1,Oui,Non,Non,,Oui,1758,Oui,97%,Recommandation principale 3,Non,,,Homme,Ministère 4,Initiative 3,Structure 6,Répondant 3
00000000004,00000000000000000000000004,IP4,2022,.35397917,0,111,2084,9,Oui,Oui,Non,,Oui,3314,Oui,51%,Recommandation principale 4,Non,,,Homme,Ministère 13,Initiative 4,Structure 13,Répondant 4
00000000005,00000000000000000000000005,IP5,2024,.26299483,0,122,2100,8,Non,Non,Oui,Changement important observé - cas 5,Non,,Oui,62%,Recommandation principale 5,Oui,Oui,Non,Homme,Ministère 2,Initiative 5,Structure 3,Répondant 5
00000000006,00000000000000000000000006,IP6,2001,.60395253,0,129,1959,6,Oui,Oui,Oui,Changement important observé - cas 6,Non,,Oui,54%,Recommandation principale 6,Oui,Partiellement,Oui,Homme,Ministère 4,Initiative 6,Structure 6,Répondant 6
00000000007,00000000000000000000000007,IP7,2007,.20523727,0,123,2061,1,Non,Oui,Oui,Changement important observé - cas 7,Non,,Oui,68%,Recommandation principale 7,Non,,,Femme,Ministère 11,Initiative 7,Structure 13,Répondant 7
00000000008,00000000000000000000000008,IP8,2010,.23882012,0,129,1963,9,Oui,Non,Oui,Changement important observé - cas 8,Oui,505,Non,,Recommandation principale 8,Non,,,Homme,Ministère 9,Initiative 8,Structure 1,Répondant 8
00000000009,00000000000000000000000009,IP9,2012,.42871422,0,102,2041,4,Non,Non,Oui,Changement important observé - cas 9,Non,,Non,,Recommandation principale 9,Non,,,Homme,Ministère 7,Initiative 9,Structure 20,Répondant 9
00000000010,00000000000000000000000010,IP10,2008,.28175703,0,130,2043,4,Oui,Non,Oui,Changement important observé - cas 10,Oui,3821,Non,,Recommandation principale 10,Oui,Non,Partiellement,Femme,Ministère 12,Initiative 10,Structure 18,Répondant 10
00000000011,00000000000000000000000011,IP11,2010,.53426605,0,128,2051,5,Non,Non,Non,,Oui,113,Oui,70%,Recommandation principale 11,Oui,Non,Oui,Femme,Ministère 7,Initiative 11,Structure 3,Répondant 11
00000000012,00000000000000000000000012,IP12,2021,.31245741,0,109,1995,4,Oui,Oui,Oui,Changement important observé - cas 12,Oui,4648,Oui,79%,Recommandation principale 12,Non,,,Femme,Ministère 6,Initiative 12,Structure 13,Répondant 12
00000000013,00000000000000000000000013,IP13,2021,.022438847,0,124,2093,2,Oui,Oui,Non,,Non,,Non,,Recommandation principale 13,Non,,,Femme,Ministère 7,Initiative 13,Structure 18,Répondant 13
00000000014,00000000000000000000000014,IP14,2014,.25029966,0,117,1992,7,Non,Non,Non,,Non,,Oui,77%,Recommandation principale 14,Non,,,Femme,Ministère 15,Initiative 14,Structure 7,Répondant 14
